sat,tothrs,colgpa,athlete,hsize,hsrank,hsperc,female
920,43,2.04,1,.1,4,40,1
1170,18,4,0,9.3999996,191,20.319151,0
810,14,1.78,1,1.1900001,42,35.294121,0
940,40,2.4200001,0,5.71,252,44.133099,0
1180,18,2.6099999,0,2.1400001,86,40.18692,0
980,114,3.03,0,2.6800001,41,15.29851,1
880,78,1.84,0,3.1099999,161,51.76849,0
980,55,3.05,0,2.6800001,101,37.686569,0
1240,18,3,0,3.6700001,161,43.869209,0
1230,17,2,0,.1,3,30,0
1140,78,2.98,0,3.3399999,95,28.44311,1
1150,43,2.9300001,0,3.5899999,13,3.62117,1
1080,17,2,1,3.1800001,31,9.7484274,0
990,64,2.21,0,1.92,51,26.5625,1
1000,45,3.3299999,0,3.6900001,29,7.8590779,1
1050,14,1.0700001,0,2.6600001,134,50.375938,1
1160,41,2.29,0,1.45,99,68.275864,1
1190,13,3.1500001,0,1.76,74,42.04546,0
1030,110,2.6500001,0,3.8599999,81,20.984461,1
960,106,2.4100001,1,3.8299999,66,17.23238,0
840,104,2.3900001,0,1.0700001,7,6.5420561,0
920,115,2.6400001,0,2.1700001,65,29.95392,1
840,96,2.1800001,0,2.3399999,141,60.256409,1
1000,50,2.8399999,0,4.6300001,133,28.7257,0
1150,100,2.8399999,0,5.9499998,301,50.58823,1
1040,112,2.9300001,0,.91000003,30,32.96703,0
970,17,2.29,0,4.3600001,41,9.4036694,1
1200,39,2.3800001,0,8.1199999,209,25.73892,1
1090,118,3.9200001,0,.60000002,2,3.333333,1
1340,46,2.23,0,3.76,130,34.574471,0
740,12,1.33,0,5.3200002,390,73.308273,1
880,85,2.8099999,0,3.8,71,18.68421,0
820,42,2.0899999,1,2.28,155,67.982452,0
1060,43,2.25,0,5.5100002,248,45.009079,0
730,50,1.9,1,4.8200002,273,56.639,0
820,16,3,0,3.9000001,102,26.153851,1
780,71,2.4000001,1,.77999997,17,21.79487,0
1040,78,2.1600001,0,4.9200001,92,18.69919,0
870,13,2.0699999,0,1.86,86,46.236561,1
940,19,2.21,0,1.85,41,22.162161,0
980,47,2,1,1.52,45,29.605261,0
1020,103,2.9100001,0,.1,2,20,1
1180,105,3,1,6.3699999,255,40.031399,0
1100,72,2.72,0,.12,2,16.66667,0
1030,18,3.55,0,2.52,27,10.71429,0
960,16,3.25,0,.1,5,50,1
910,15,2.8599999,0,1.27,28,22.047251,0
1060,42,2.04,0,.13,1,7.692307,0
880,14,1.92,0,.029999999,1,33.333328,1
1010,17,3.5799999,0,.28,2,7.1428571,1
700,38,2.3900001,1,.31999999,22,68.75,0
930,15,3.46,0,3.72,67,18.01075,1
900,18,3.1600001,0,2.54,69,27.16535,0
1090,29,1.03,0,2.02,121,59.90099,0
1120,79,3,0,4.6999998,78,16.595751,1
960,15,2.3299999,1,4.4699998,320,71.588364,0
890,37,2.45,1,1.24,50,40.322578,0
1240,47,3.6500001,0,5.3699999,31,5.7728119,0
1090,113,3.6099999,0,3.6400001,50,13.73626,1
820,47,3.25,0,6.3400002,68,10.72555,1
940,16,3.8099999,0,3.4200001,53,15.49708,0
820,40,2.25,1,5.71,344,60.245178,0
970,39,2.4100001,1,5.6599998,83,14.66431,0
790,17,2.8199999,1,5.9699998,72,12.0603,0
1080,13,2.3,0,.1,7,70,1
850,48,3.27,0,3.0999999,54,17.419359,1
850,15,2.6600001,1,.73000002,5,6.8493152,1
820,95,2.26,1,1.3099999,98,74.809158,0
1120,12,2.3299999,1,4.8800001,20,4.098361,0
880,43,2.3699999,1,4.0700002,70,17.19902,1
1540,85,4,0,2.3,1,.43478259,0
780,86,3.8099999,0,3.47,38,10.95101,0
1280,55,3.8699999,0,2.03,3,1.477833,1
1260,13,4,0,2.1700001,5,2.304147,1
830,83,1.95,1,2,84,42,0
980,16,2.4300001,0,.92000002,28,30.43478,0
500,14,1.21,1,4.5700002,329,71.991249,0
1040,15,3,0,3.6099999,31,8.5872574,0
930,12,1.75,0,3.25,26,8,1
570,79,1.73,1,3.24,187,57.716049,0
820,13,1.84,0,3.03,147,48.514851,1
1310,16,2.25,0,4.6700001,122,26.124201,0
770,15,2.1300001,0,1,30,30,1
1180,18,3.77,0,4.8000002,48,10,0
1310,53,3.22,0,3.2,30,9.375,0
1150,63,2.1700001,0,3.02,64,21.192051,0
1130,113,2.77,0,1.66,33,19.87952,0
1110,122,3.3599999,0,2.04,9,4.4117651,1
1210,16,3.6199999,0,2.9300001,14,4.7781572,0
1090,20,3.7,0,1.87,6,3.2085559,1
1040,54,2,0,3.55,82,23.098591,1
1340,81,3.6900001,0,1.11,15,13.51351,1
900,76,1.75,0,.86000001,16,18.60465,0
650,52,2.1900001,1,2.0599999,57,27.669901,0
1190,77,3.4000001,0,4.2399998,26,6.1320748,1
990,16,1.4299999,0,2.51,39,15.53785,1
1160,50,2.78,0,3.72,79,21.236561,1
1140,71,2.6099999,1,2.4100001,24,9.9585066,0
1180,87,3.0899999,1,4.6900001,36,7.6759062,0
1120,49,2.8299999,0,.1,1,10,1
1010,15,1.9299999,0,3.1900001,157,49.216301,1
1160,113,2.8800001,0,4.02,15,3.731343,0
1200,16,3.3099999,0,4.3200002,209,48.379631,1
720,16,1.9299999,1,4.3000002,230,53.488369,1
1190,36,2.4100001,0,2.6099999,97,37.164749,0
970,14,2.9200001,0,3.4100001,116,34.017601,1
1210,17,3.52,0,5.1100001,1,.1956947,1
930,49,2.9300001,0,2,65,32.5,0
1000,74,2.28,0,2.3599999,75,31.779659,0
970,42,1.95,0,4.3299999,130,30.02309,0
960,45,3.02,1,.1,3,30,1
980,47,3.25,0,.1,4,40,0
960,118,3.3199999,0,2.26,96,42.477871,0
970,79,2.03,1,.1,3,30,0
960,79,2.3399999,0,.74000001,7,9.4594593,1
1160,96,3.4100001,0,2.1199999,19,8.9622641,0
1080,80,2.5599999,0,2.1199999,100,47.169811,0
990,14,4,0,3.05,3,.98360658,1
1130,18,1.33,0,2.3499999,91,38.7234,1
1060,12,2.25,0,2.3499999,66,28.08511,0
1060,15,2.5999999,0,2.3499999,44,18.7234,1
1120,73,2.6300001,0,2.95,15,5.0847459,0
1030,17,2.5799999,0,2.78,59,21.223021,0
1070,48,3.04,0,3.1500001,99,31.42857,0
910,13,2.76,0,3.72,85,22.849461,0
1100,108,1.95,0,3.73,188,50.402149,0
1000,106,2.9200001,0,3.73,127,34.04826,0
1000,17,3.4100001,0,3.71,99,26.684641,0
970,46,2.73,0,4.0999999,113,27.56098,1
1070,35,2.54,0,6,62,10.33333,0
950,15,3.0599999,0,2.8499999,24,8.4210529,0
1140,16,1.9299999,0,2.1700001,34,15.6682,1
1060,17,3.23,0,1.5599999,27,17.30769,0
940,50,2.54,1,2.51,45,17.928289,0
960,48,2.22,0,1,39,39,0
890,104,1.99,0,2.0999999,38,18.09524,0
1120,41,1.75,0,3.28,152,46.341461,1
1150,14,3.1400001,0,.1,4,40,0
1270,107,3.24,0,.1,4,40,0
1100,18,2,0,.1,4,40,1
1150,14,2.5,0,.1,5,50,0
1090,15,1.6,0,1.5,79,52.666672,0
1220,110,3.05,0,.1,5,50,1
1070,102,2.4100001,0,.1,5,50,0
1030,15,2.73,0,1.36,4,2.9411759,1
980,49,2.9300001,0,3.2,17,5.3125,0
930,44,2.5,0,2.71,40,14.76015,1
1030,43,2.6900001,0,3.0799999,62,20.129869,1
1100,71,2.6099999,1,3.0599999,99,32.35294,0
1100,18,2.9400001,0,3.0999999,28,9.032258,0
1070,50,3.4400001,0,1.78,10,5.6179781,0
980,16,3.1199999,0,2.27,21,9.2511005,0
1000,50,3.46,0,1.78,23,12.92135,1
1190,17,3.6400001,0,1.78,40,22.47191,1
1060,35,2.5699999,0,2.6099999,76,29.118771,0
1240,16,3.4300001,0,2.9400001,41,13.94558,1
950,115,2.24,0,2.1199999,70,33.018871,1
1300,42,2.78,0,2.6099999,142,54.406132,0
860,92,2.1300001,1,2.74,110,40.145981,0
1010,94,2.6900001,0,2.5599999,74,28.90625,0
1180,117,3.29,0,2.5599999,94,36.71875,1
1040,69,2.3099999,0,.1,4,40,1
1010,16,2.3099999,0,1.95,36,18.46154,1
1000,17,1.88,0,1.96,35,17.85714,0
1030,17,2.47,0,.1,3,30,0
1100,18,2.6600001,0,2.3599999,22,9.3220339,0
1240,92,2.77,0,.57999998,16,27.58621,0
1110,45,3.77,1,.47999999,20,41.666672,1
1070,14,1,0,1.86,87,46.774189,0
1040,47,2.02,0,1.95,60,30.76923,0
1290,93,3.4300001,0,2.3099999,1,.4329004,1
1010,78,2.6900001,0,2.3099999,36,15.58442,0
1080,50,3.7,0,.50999999,8,15.68627,0
1120,41,3.6800001,0,3.4400001,8,2.3255811,1
1210,49,1.97,0,3.4400001,120,34.88372,0
990,16,2.9300001,0,4.0100002,94,23.441401,1
1130,13,2.23,0,1.1,64,58.18182,0
840,16,2.1199999,1,.47999999,32,66.666656,1
1050,45,3.6600001,0,5.5,39,7.090909,1
1050,15,1.8,1,6.1999998,266,42.903221,0
1000,50,2.48,0,5.5,117,21.27273,1
1020,81,2.97,0,4.6300001,28,6.0475159,1
960,48,1.7,0,5.5,163,29.63636,1
890,75,1.98,1,7.6799998,451,58.723961,1
1320,16,4,0,8.54,3,.35128811,0
1140,32,3.3699999,0,1.61,4,2.484472,1
1000,106,1.84,0,1.52,41,26.97368,0
1040,40,2.1500001,0,1.61,89,55.279499,0
850,11,1.8099999,1,1.79,153,85.474861,0
1050,116,3.5599999,0,6,21,3.5,1
1140,14,2.0699999,0,2.7,16,5.9259262,0
1120,73,2.23,0,4.6300001,42,9.0712748,1
1060,126,3.1099999,0,1.52,21,13.81579,1
1090,18,2.72,0,6.6100001,159,24.054461,0
1080,70,2.1099999,0,.40000001,21,52.5,0
1070,48,2.75,0,5.1199999,70,13.67188,1
1130,18,3.1600001,0,5.8400002,100,17.123289,0
1410,49,3.6900001,0,3.6099999,19,5.2631578,0
1000,11,2.45,0,3.9300001,73,18.57506,0
1130,44,3.72,0,3.6099999,28,7.7562332,0
1130,42,2.02,0,3.6099999,60,16.620501,1
1120,58,3.1300001,0,3.53,29,8.2152977,1
1180,17,2.76,0,2.75,4,1.454545,0
1020,78,2.8699999,0,5.8000002,22,3.793103,1
810,16,2.4300001,0,6.4699998,69,10.66461,1
940,15,3.0599999,0,2.3399999,14,5.9829059,1
880,16,2.75,0,3.21,51,15.88785,1
910,52,2.46,1,3.8599999,190,49.222801,0
1490,106,4,0,4,1,.25,1
1040,54,3.01,0,4.3499999,35,8.0459766,0
1220,55,3.3,0,4.3499999,93,21.379311,0
1140,47,3.4200001,0,1.59,4,2.515723,1
1170,16,3.4300001,0,5.6100001,89,15.86453,0
910,15,.60000002,1,5.6300001,328,58.259331,0
1290,45,3.71,0,5.21,19,3.6468329,0
1340,78,3.3800001,0,4.9899998,4,.8016032,0
1110,127,2.6199999,0,3.4400001,99,28.77907,0
1040,81,3.49,0,3.2,20,6.25,0
1070,13,2.53,0,.37,11,29.729731,0
1200,18,3.77,0,3.25,7,2.153846,0
950,90,2.6500001,0,3.4000001,46,13.52941,0
1110,46,2.6700001,1,.039999999,2,50,1
970,40,2.3499999,0,4.54,140,30.837,0
1090,83,2.6700001,0,3.6400001,33,9.0659342,1
960,35,2.05,0,3.71,110,29.649599,1
980,41,2.3099999,0,.1,6,60,1
1070,14,2.9200001,0,3.6199999,61,16.85083,0
1040,17,2.9400001,0,1.27,7,5.5118108,0
1170,73,3.28,1,4.6999998,127,27.02128,0
1010,18,2.72,0,4.6700001,116,24.839399,0
1110,15,2.9300001,0,3.96,46,11.61616,1
890,15,2.2,0,3.96,100,25.252529,1
950,97,2.4200001,0,6.5,75,11.53846,0
780,14,2.8499999,1,6.54,81,12.38532,1
1230,97,2.1600001,0,3.3900001,13,3.8348081,1
1160,18,3.55,0,1.9400001,4,2.061856,1
1020,41,2.46,0,2.52,56,22.222219,1
1200,84,2.26,0,.1,3,30,0
1230,46,3.47,0,2.6800001,6,2.238806,0
1110,129,2.2,0,.1,4,40,1
1250,38,2.3399999,0,1.15,11,9.565217,0
980,32,2.1800001,0,1.15,55,47.826092,0
1100,80,3.0999999,0,.94,44,46.80851,0
880,38,2,0,2.54,116,45.669289,0
1050,57,2.9400001,0,3.1600001,8,2.531646,0
910,117,3.03,0,5,122,24.4,1
1140,46,3.3199999,0,5.9400001,47,7.9124579,1
990,83,3.1400001,0,5.6599998,8,1.4134279,0
1130,42,2.76,0,5.9400001,209,35.185181,0
1010,17,1.29,0,6.8000002,252,37.058819,1
1030,108,3.1099999,0,5.4400001,52,9.5588236,1
1070,50,2.1199999,0,4.5999999,8,1.73913,1
900,29,2.72,0,3.1099999,17,5.466238,1
1030,125,2.8199999,0,4.4899998,33,7.3496661,0
940,45,3.1099999,0,2.1199999,7,3.301887,1
1020,13,2.46,0,4.4000001,61,13.86364,0
980,76,3.01,0,2.1300001,10,4.6948361,1
1060,16,3.1800001,0,3.9300001,47,11.95929,0
1160,80,3.5,0,4.0300002,20,4.962779,0
1210,17,2.7,0,4.3499999,25,5.7471271,0
1050,43,2.76,0,2.5,32,12.8,1
1160,17,2.8800001,0,4.9400001,94,19.028339,0
850,83,3.6099999,0,1.73,26,15.0289,1
950,46,2.71,0,.61000001,16,26.229509,1
940,16,2.4300001,0,4.2800002,47,10.98131,1
1040,81,3.2,0,4.0100002,42,10.47382,1
1090,114,3.02,0,3.9400001,24,6.0913711,0
1210,52,4,0,4.48,6,1.339286,0
1100,50,3.2,0,1.24,1,.80645162,1
1180,81,1.8200001,1,3.21,167,52.024921,0
750,41,1.41,0,6.1500001,76,12.35772,0
1280,80,3.76,0,6.8600001,44,6.4139938,0
940,16,2.6199999,0,.1,6,60,0
1010,15,1.9299999,0,.79000002,12,15.18987,1
990,108,2.6900001,0,1.74,71,40.8046,1
990,16,1.5,0,3.6099999,86,23.82271,0
1010,90,3.1600001,0,2.74,21,7.6642342,1
1130,78,3.1099999,0,2.1500001,20,9.3023252,1
970,47,3.29,0,2.1300001,15,7.042253,1
1050,18,2.9400001,0,3.72,18,4.8387098,1
1080,113,3.3099999,0,.60000002,12,20,0
1050,16,2.9300001,0,4.25,55,12.94118,0
1000,50,3.28,0,3.8,4,1.052632,1
1270,13,3.46,0,6.6300001,20,3.0165911,0
1160,18,2.27,0,.37,17,45.94595,0
930,10,1.5,0,3.5999999,123,34.166672,1
1010,80,2.3099999,0,4,57,14.25,0
1010,16,3.6199999,0,3.5999999,9,2.5,1
990,52,2.6900001,0,4,5,1.25,1
540,92,1.91,1,5.77,402,69.670708,0
1050,45,2.53,0,4.96,104,20.967739,0
1150,82,3.6199999,0,4.5799999,10,2.1834061,1
1050,81,2.9000001,0,4.1199999,21,5.0970869,0
990,15,3.1300001,0,1.09,23,21.10092,1
1050,16,2.8699999,0,4.8800001,56,11.47541,0
1170,15,2.26,0,3.9300001,84,21.37405,0
930,43,3.48,1,6.04,27,4.4701991,1
1000,18,2.4400001,0,4.4699998,80,17.897091,0
1020,17,3.1700001,0,3.3,12,3.636364,1
1160,87,3.0799999,0,3.5,10,2.8571429,1
1130,18,3.3800001,0,4.6700001,6,1.284797,1
900,80,3.0599999,0,3.5999999,7,1.9444439,1
870,78,2.75,0,3.5999999,11,3.0555561,1
970,114,3.0599999,0,1.11,14,12.61261,0
1090,63,2.5999999,0,1.28,30,23.4375,0
1040,39,3.1700001,0,5.4000001,36,6.666667,1
1070,17,3.1700001,0,6.0100002,84,13.97671,0
810,44,2.3599999,1,5.1999998,214,41.153851,0
1200,14,3.21,0,6.3099999,43,6.81458,0
1020,81,3.5899999,0,5.0500002,17,3.3663371,1
1230,110,2.8399999,0,4.4000001,45,10.22727,1
1040,111,2.98,0,7.5,220,29.33333,1
830,11,1.9,0,7.3099999,271,37.072498,1
1230,79,3.6500001,0,2.5,3,1.2,0
1050,13,4,0,.82999998,13,15.66265,1
910,50,2.3599999,0,3.7,116,31.351351,1
1070,44,3.52,0,3.7,42,11.35135,1
1050,12,3.3299999,0,3.7,30,8.1081095,1
1110,78,3.5,0,3.21,23,7.1651092,0
1170,112,2.72,0,7.9000001,65,8.2278481,1
890,62,2.3499999,0,7,150,21.42857,1
720,83,2.26,0,4.25,147,34.58823,1
1170,15,3,0,1.4400001,29,20.138889,0
1140,74,2.8599999,0,3.54,8,2.259887,0
1200,81,2.55,0,4.8000002,38,7.916667,1
1010,13,2.3800001,0,4.0300002,35,8.6848631,1
1330,46,4,0,3.03,1,.330033,1
920,42,3.0699999,0,3.03,20,6.6006598,0
1180,79,2.4100001,0,.31,2,6.4516129,0
1000,47,3.4200001,0,5.7399998,59,10.27875,1
1140,15,2.8599999,0,6.3499999,103,16.22047,1
1130,50,3.78,0,1.9400001,1,.51546389,0
1010,95,2.46,1,4.5700002,123,26.91466,0
930,50,1.88,1,2.8800001,197,68.402779,0
1110,88,2.3699999,0,2.9100001,30,10.30928,1
850,78,2.0699999,1,5.3699999,234,43.57542,0
1050,76,2.8800001,0,5.6199999,23,4.0925269,0
1080,15,2.8,0,7.71,207,26.848249,0
1240,49,3.6500001,0,7.4499998,22,2.9530201,1
1060,114,2.8699999,0,6.3699999,192,30.141291,1
1160,98,3.47,1,6.3699999,101,15.85557,1
970,121,2.8299999,0,6.3699999,65,10.20408,1
1100,43,2.4100001,0,7.4499998,218,29.261749,0
1060,41,3.8499999,0,7.4499998,260,34.89933,1
790,47,2.46,0,2,7,3.5,1
880,11,1.09,0,4.1700001,101,24.220619,0
1000,45,3.28,0,.52999997,16,30.188681,1
990,18,2.3800001,0,3.3,60,18.18182,1
1040,13,2.3,0,3.3,76,23.0303,0
1040,14,3.28,0,2.0599999,12,5.825243,1
840,15,3,0,3.3900001,58,17.10914,1
1060,54,3.01,0,2.8399999,24,8.4507046,1
950,72,2.3,0,2.48,96,38.709679,1
1030,81,2.3299999,0,2.48,19,7.6612902,1
920,17,3.4100001,0,3.51,36,10.25641,1
1220,111,3.76,0,1.74,5,2.8735631,1
750,15,1.0599999,0,.1,4,40,1
900,58,3.2,0,.1,2,20,0
800,46,1.8,0,2.5599999,23,8.984375,1
880,17,2.3499999,0,.1,4,40,1
870,14,3.5,1,.1,2,20,1
910,108,3.29,0,2.3,7,3.043478,1
880,18,2.05,0,1.36,92,67.647057,0
1100,49,2.97,1,1.72,137,79.651161,0
1180,74,2.51,0,1.7,97,57.058819,0
1210,18,.55000001,0,.1,3,30,0
1100,47,2.0599999,0,.050000001,3,60,0
1180,17,3.29,0,2.9400001,7,2.3809519,1
1070,45,2.3299999,0,3.46,86,24.85549,1
1020,44,2.22,0,3.46,151,43.641621,1
1030,110,2.8699999,0,2.55,69,27.058821,1
1060,64,2.8499999,0,3.4000001,130,38.235291,0
1030,18,3.27,0,3.3699999,37,10.97923,0
1080,96,2.71,0,2.47,115,46.558701,0
1100,38,2.02,0,.70999998,58,81.69014,0
1080,102,2.3,0,2.6099999,81,31.034479,0
850,16,2.5599999,0,2.21,94,42.533939,1
1040,45,2.6400001,0,2.04,56,27.450979,0
1070,17,3.47,0,3.8299999,8,2.088773,0
850,16,1.5599999,0,3.55,15,4.2253518,1
730,111,2.29,0,2.6099999,43,16.4751,1
1040,50,2.72,0,.40000001,32,80,0
1130,89,2.53,0,2.0699999,2,.9661836,1
1200,113,3.9100001,0,2.4000001,3,1.25,1
1360,52,3.78,0,2.3699999,3,1.265823,0
700,15,2.5999999,1,2.3800001,102,42.85714,0
1120,117,3.1099999,0,.38,6,15.78947,1
700,98,2,0,.92000002,37,40.217388,0
960,73,2.21,0,2.9000001,25,8.6206894,1
950,81,3.3199999,0,1.61,15,9.3167706,1
750,74,2.4400001,1,2.1500001,68,31.627911,0
990,46,3.52,0,.1,1,10,1
950,79,1.86,0,2.0599999,74,35.922329,0
1130,71,2.1500001,0,1.3,12,9.2307692,1
980,14,2,1,1.9,42,22.105261,0
800,15,2,0,1.9,30,15.78947,1
1280,54,3.3800001,0,2.4000001,6,2.5,1
1070,106,2.4000001,0,.1,2,20,0
1170,53,3.47,0,.1,3,30,0
970,83,2.3800001,0,.1,4,40,0
1130,16,3.6199999,0,2.4000001,6,2.5,1
860,44,2.8599999,0,2.7,55,20.370371,0
1060,80,3.1700001,0,.1,2,20,1
1090,51,2.6400001,0,.1,1,10,0
850,96,2.0699999,0,1.34,14,10.44776,0
1120,18,2.27,0,2.1500001,63,29.30233,1
960,16,2.9300001,0,2.1600001,59,27.314819,1
1270,17,3.76,0,3.1500001,1,.3174603,0
1130,126,3.1500001,0,3.25,5,1.538462,1
1110,120,3.1099999,0,1.99,5,2.512563,0
830,15,2.46,0,3.72,71,19.08602,1
1150,13,2.6099999,0,3.72,89,23.92473,0
1210,17,2.76,0,2.9000001,17,5.8620691,1
870,108,2.22,1,3.02,67,22.185431,0
1010,131,2.9000001,0,1.28,13,10.15625,0
990,123,2.6700001,0,1.28,8,6.25,1
1080,92,2.28,0,2.3399999,99,42.30769,0
1150,43,3.53,0,2.51,13,5.1792831,1
1100,46,2.8599999,0,.1,1,10,0
940,16,1.87,0,.1,2,20,1
1360,52,3.98,0,2.8299999,1,.3533569,0
820,46,2.52,0,.1,2,20,1
760,13,1.0700001,0,.1,3,30,1
680,107,2.04,1,.91000003,13,14.28571,1
880,47,2.21,0,1.48,36,24.32432,1
1170,45,2.71,0,.1,2,20,1
1220,42,2.76,1,.1,3,30,0
1020,16,2.8699999,0,.1,1,10,1
910,14,2.5,0,.1,2,20,1
1090,89,3.1199999,0,.1,2,20,1
990,80,3.1300001,0,.1,3,30,1
910,43,2.8599999,0,.1,3,30,0
1120,17,2.1099999,0,.1,4,40,1
1090,35,1.8,0,.1,3,30,0
1090,10,3,0,.1,1,10,1
880,104,2.23,0,.1,4,40,1
1060,17,3.6400001,0,.1,2,20,0
930,78,3.28,0,.1,3,30,1
730,43,3.0899999,0,.1,1,10,1
970,48,3.3099999,0,.1,1,10,1
900,49,1.83,0,.1,4,40,1
1120,17,3.76,0,.1,1,10,0
1000,16,1.37,0,2.75,92,33.45454,1
1130,14,2.78,0,2.75,108,39.272732,1
860,49,3.46,0,2.6500001,30,11.32076,1
830,15,2.2,0,2.75,146,53.090912,1
910,79,2.25,0,2.6099999,116,44.444439,1
1050,69,2.6500001,0,2.6099999,50,19.157089,1
930,15,2.0599999,0,2.75,117,42.54546,1
1050,117,3.3399999,0,2.3199999,34,14.65517,1
1240,88,3.8599999,0,2.4200001,3,1.239669,1
1230,107,2.97,0,1.03,6,5.825243,0
830,89,1.92,1,4.5700002,279,61.050331,0
950,48,1.9299999,0,5.1500001,181,35.14563,0
1200,113,2.3299999,0,3,53,17.66667,1
1180,12,3.5799999,0,4.25,28,6.5882349,1
1200,52,3.51,0,.37,2,5.405406,0
1010,70,1.8099999,0,1.86,47,25.26882,1
1160,91,3.4200001,0,1.99,17,8.5427132,1
1070,21,2.6600001,0,.13,3,23.07692,1
820,117,2.47,1,.98000002,16,16.32653,0
1000,82,2.4200001,0,.36000001,17,47.222221,0
1120,15,2.73,0,1.64,27,16.463421,0
740,14,2.0699999,1,.61000001,8,13.11475,0
670,82,1.89,1,.75999999,58,76.315788,0
980,38,2.3099999,0,4.5,67,14.88889,0
1130,81,2.8199999,0,.12,3,25,1
1240,80,3.45,0,2.29,11,4.803493,0
720,51,2.23,1,.1,7,70,0
690,51,1.72,1,2.1400001,86,40.18692,0
1210,121,3.0899999,0,.1,1,10,1
1120,15,2.3299999,0,3.3,20,6.060606,1
1020,16,2.1800001,0,1.84,12,6.521739,1
1040,15,2.8,0,3.2,41,12.8125,0
1080,14,3.1400001,0,3.73,73,19.571039,1
1080,16,3.25,0,3.73,48,12.86863,0
1130,120,2.99,0,3.47,2,.57636893,0
1120,19,2.6800001,0,3.3800001,77,22.781059,1
1120,17,3.1700001,0,3.3800001,71,21.00592,1
1190,119,3.78,0,2.6900001,1,.3717472,0
1010,73,1.9,0,.68000001,25,36.764709,1
1210,91,2.71,0,5.5599999,159,28.59712,0
1020,44,2,1,6.9699998,463,66.427544,0
1060,48,3.2,0,6.9699998,70,10.04304,1
790,16,2.1800001,0,8.1499996,258,31.656441,1
1220,46,3.9300001,0,6.9699998,3,.43041611,1
850,52,1.86,0,6.9699998,257,36.872311,0
900,47,2.51,0,6.9699998,106,15.20803,1
1020,14,2.5,0,6.0999999,207,33.934429,1
1090,95,2.8599999,1,4.7199998,67,14.19491,0
1130,14,3.4200001,0,6.1399999,123,20.03257,1
1130,43,2.76,0,2.6900001,40,14.86989,0
910,46,3.28,0,2.6900001,51,18.95911,1
1040,78,2.5,0,2.0999999,24,11.42857,1
1160,15,3.73,0,4.9400001,2,.40485829,0
1030,16,2.5,0,4.6300001,109,23.54212,0
1040,43,2.3900001,0,4.1399999,61,14.7343,1
1070,16,2.6800001,0,4.6300001,67,14.47084,1
